Description,TotalSalesDollars,ProfitMargin
12 Days of Pearls Gift Set,309.6900000000001,97.67832348477509
13th Colony Sthrn Corn Whsky,359.82,42.44622311155579
14 Hands Moscato,798.1500000000004,28.512184426486282
14 Hands Rsl Wash,531.4800000000002,22.781666290359038
2 Copas Spain White,119.88,33.33333333333333
2 Gingers Irish Whiskey,321.86,40.887342322749014
4 Orange Vodka,483.78000000000003,85.90268303774444
900 Grapes Svgn Bl,59.94,32.43243243243243
A Bichot Adelie Mercury,815.7600000000001,72.03834461116014
A Bichot Ch Gris Nuits St Ge,648.89,93.73083265268383
A Bichot Clos Marechaudes,539.94,67.74086009556618
A Bichot Merc Champs M,515.88,94.5529968209661
A Innocenti Nonni Cab Svgn,623.5200000000001,17.725173210161678
A by Acacia Red Cal,143.88,45.204336947456206
A to Z Rose,798.5300000000001,14.342604535834605
Aalto Ribera Del Duero Red,49.99,32.42648529705941
Absolut Elyx,674.85,17.94324664740313
Absolut Hibiskus,153.93,27.557980900409284
Absolut Orient Apple Vodka,119.93999999999998,87.65215941303985
Absolut Peppar Vodka,239.88,19.739036184759044
Absolut Wild Tea,901.8800000000003,83.9280170310906
Acacia Winery Pnt Nr Carnero,447.84000000000003,3.4990175062522493
Achaval Ferrer Cab Svgn,229.90000000000003,15.01087429317095
Adelsheim Auxerrois Ribbon S,901.5900000000003,78.57340919930347
Adissat Gabrielle Ch du Pape,639.84,74.8312078019505
Admiral Nelson Egg Nog,450.3100000000003,79.38753303279964
Agavero Tequila Liqueur,805.69,13.16138961635368
Agua de Piedra Malbec Selecn,707.16,37.994230442898356
Alabaster 07 Tinta de Toro,674.95,86.39454774427735
Alain Lorieux Chinon Express,485.73000000000013,59.68130442838614
Albero Sparkling Wh Organic,5.79,28.497409326424876
Albert I Noya Xarello Clsc,911.3400000000005,35.519125683060146
Alexana Pnt Nr Willamette,919.6000000000001,15.832970856894315
Alexander Vly Vyds Sin Znfdl,479.76,35.46773386693346
Alias Cab Svgn,912.1700000000002,38.11679840380632
Alias Chard,582.47,24.967809500918502
Alibi Whiskey,531.72,63.50710900473935
Alice White Lexia Muscato,512.8500000000001,40.801403919274655
Alisios Pinot Grigio,119.88,33.33333333333333
Alize Coco Liqueur,95.94,21.263289555972477
Alize Red Passion,139.93,31.437147145001077
Allegrini La Grola Veronese,629.79,21.19277854522936
Allen's Amaretto Liqueur,101.83,45.67416282038692
Allen's Blue Curacao Liqueur,5.99,20.03338898163606
Allen's Ginger Brandy,464.7,11.1426726920594
Allen's Pomegranate Liqueur,107.81999999999998,13.522537562604315
Alma Negra Gran Almanegra,249.95,86.20524104820964
Almaden Moscato Rhine,260.71000000000004,19.911012235817584
Alpataco Malbec,575.64,32.45778611632271
Alpataco Pnt Nr,735.5400000000001,47.48348152377846
Alta Classe Mntplcno Abruzzo,327.5900000000001,60.73140205744988
Alta Vista Malbec Mendoza,137.88,42.81984334203655
Altadonna Vermentino,530.4100000000001,96.49327878433664
Altocedro Malbec Reserva,239.92,31.043681227075687
Amadeo Chianti,191.76,31.53942428035044
Amaro Sfumato Rabarbaro,43.98,21.282401091405184
Anarkos Puglia,299.76,66.21297037630104
Anastasi Estates Messinia Rd,323.73,85.28403299045502
